"OBJECTID","LOWWELL","SPECIES"
1,"None","Platanus acerifolia"
2,"None","Platanus acerifolia"
3,"Moderate","Gleditsia triacanthos"
4,"Low","Photinia sp"
5,"None","Lophostemon confertus"
6,"None","Liquidambar styraciflua"
7,"None","Lophostemon confertus"
8,"None","Unknown"
9,"None","Platanus acerifolia"
10,"None","Liquidambar styraciflua"
11,"None","Liquidambar styraciflua"
12,"Low","Unknown"
13,"Low","Liquidambar styraciflua"
14,"Moderate","Platanus acerifolia"
15,"None","Platanus acerifolia"
16,"Low","Platanus acerifolia"
17,"None","Lophostemon confertus"
18,"Moderate","Tristaniopsis I. `Elegant"
19,"High","Fraxinus o. `Raywood'"
20,"None","Unknown"
21,"None","Magnolia grandiflora"
22,"None","Pyrus calleryana cvs"
23,"Low","Dead"
24,"Low","Liquidambar styraciflua"
25,"Low","Tristaniopsis I. `Elegant"
26,"None","Podocarpus gracilior"
27,"None","Unknown"
28,"None","Pyrus calleryana cvs"
29,"Low","Unknown"
30,"None","Gleditsia triacanthos"
31,"None","Platanus acerifolia"
32,"Low","Prunus sp"
33,"None","Prunus sp"
34,"Low","Acer sp"
35,"None","Liquidambar styraciflua"
36,"Low","Ginkgo biloba"
37,"Moderate","Prunus sp"
38,"High","Schinus terebinthefolia"
39,"Low","Magnolia grandiflora"
40,"None","Magnolia grandiflora"
41,"None","Cinnamomum camphora"
42,"None","Callistemon sp"
43,"Low","Pyrus calleryana cvs"
44,"Low","Pyrus calleryana cvs"
45,"None","Pyrus calleryana cvs"
46,"High","Alnus rhombifolia"
47,"None","Gleditsia triacanthos"
48,"Low","Platanus acerifolia"
49,"Moderate","Magnolia sp"
50,"Moderate","Washingtonia robusta"
51,"High","Unknown"
52,"Low","Platanus acerifolia"
53,"Low","Pyrus calleryana cvs"
54,"Low","Gleditsia triacanthos"
55,"None","Tristaniopsis I. `Elegant"
56,"Low","Pyrus calleryana cvs"
57,"Low","Pyrus calleryana cvs"
58,"Low","Podocarpus gracilior"
59,"None","Liquidambar styraciflua"
60,"None","Lagerstroemia indica"
61,"Low","Gleditsia triacanthos"
62,"None","Acacia longifolia"
63,"None","Pyrus calleryana cvs"
64,"Low","Platanus acerifolia"
65,"Low","Nyssa sylvatica"
66,"Low","Photinia sp"
67,"Low","Photinia sp"
68,"None","Lophostemon confertus"
69,"None","Ginkgo biloba"
70,"Low","Platanus acerifolia"
71,"Low","Platanus acerifolia"
72,"None","Pyrus calleryana cvs"
